filename,path,ra,dec,shapey,shapex,pixelscalearcsec,cutoutsizearcsecy,cutoutsizearcsecx,skylevel,p99flux,status,reason,stdnorm,peaknorm,edgeabsmean,finitefraction,r1_pre_offset_pix,r1_post_offset_pix,r1_shift_y,r1_shift_x,r1_n_components,seg_bkg,seg_sigma,r2_n_components,r2_n_bright_components,r2_main_flux_fraction,r2_main_area_fraction,r2_spike_cross_ratio,r2_main_peaknorm,r3_mask_pixels,r3_mask_fraction
0001_150.329073_2.139497_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0001_150.329073_2.139497_acs_I_mosaic_30mas_sci.fits,150.32907433865515,2.1394986617800162,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.013445042073726654,0.33938679099082947,accept,passed_auto_qa,0.22377927601337433,2.3063857555389404,0.03597787022590637,1.0,1.873171939963811,0.028548409268411228,1.8132075123746176,-0.4701612848119652,1,-1.3719727576244622e-09,0.04836423770442225,1,1,0.8532107297552061,0.22360402494331066,0.1991679878080035,2.219919443130493,7522,0.2665107709750567
0002_150.054801_2.426702_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0002_150.054801_2.426702_acs_I_mosaic_30mas_sci.fits,150.05480580325315,2.426694131548289,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0019578374922275543,0.14299161732196808,accept,passed_auto_qa,0.24705840647220612,5.0,0.019021911546587944,1.0,0.7985828167695028,0.039642498336136256,-0.06358299866339223,-0.7960475598357704,1,-8.141114449244924e-10,0.026802348122179385,1,1,0.859798965151091,0.12482284580498866,0.33857799664016286,5.0,4211,0.14919926303854875
0003_150.218429_2.36785_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0003_150.218429_2.36785_acs_I_mosaic_30mas_sci.fits,150.21843043932176,2.367850804179094,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0038163787685334682,0.33541786670684814,accept,passed_auto_qa,0.21891839802265167,3.965155601501465,0.011786920949816704,1.0,0.9464612873674588,0.024100420779001548,0.9454877402006758,0.04291738127480471,1,3.4708591556409374e-10,0.01685740064525637,1,1,0.921464038513399,0.16999716553287983,0.2907220854181505,3.9415957927703857,5573,0.1974560657596372
0004_150.293615_2.402216_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0004_150.293615_2.402216_acs_I_mosaic_30mas_sci.fits,150.29361460676563,2.4022177156905635,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0007584767299704254,0.04080461710691452,accept,passed_auto_qa,0.24366495013237,5.0,0.062310218811035156,1.0,1.7519718972133134,0.023481628645215254,1.3109694218660763,1.162224033290201,1,0.0,0.06121302761100232,1,1,0.6628499225827997,0.06288973922902494,0.2858725085608119,4.9094743728637695,2303,0.08159722222222222
0005_150.300439_2.165881_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0005_150.300439_2.165881_acs_I_mosaic_30mas_sci.fits,150.30044132795948,2.1658772053315594,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0010144098196178675,0.033599309623241425,accept,passed_auto_qa,0.27694302797317505,5.0,0.05699937790632248,1.0,5.957247754458154,4.175435553704877,4.767755794370217,-3.571737041447193,2,-1.7324168766208459e-09,0.06667909218009024,2,1,0.6594669536507464,0.07022392290249434,0.29706452040578807,5.0,2720,0.0963718820861678
0006_149.7983_2.215854_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0006_149.7983_2.215854_acs_I_mosaic_30mas_sci.fits,149.79830095022484,2.215845938347751,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0005115644889883697,0.027693217620253563,accept,passed_auto_qa,0.22443336248397827,3.7722480297088623,0.08209043741226196,1.0,0.44902780686010996,0.5903870038896609,0.4165190070848155,0.16774351871437432,1,-0.0009556411532685161,0.09653357978090643,1,1,0.4758127288375312,0.044890873015873016,0.22146321350886897,3.5086019039154053,1742,0.06172052154195011
0007_149.825905_2.27702_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0007_149.825905_2.27702_acs_I_mosaic_30mas_sci.fits,149.82591724693734,2.2770174400434398,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0020867688581347466,0.18863461911678314,accept,passed_auto_qa,0.21416126191616058,4.534456729888916,0.05360740050673485,1.0,1.4737433671772109,0.06152988997649532,0.4584675829001412,-1.4006166455274354,2,-0.0005544025916606188,0.017193937661609378,2,1,0.765344498319186,0.11780753968253968,0.26521969858642025,4.302835941314697,3976,0.14087301587301587
0008_150.110179_2.272575_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0008_150.110179_2.272575_acs_I_mosaic_30mas_sci.fits,150.11018064208596,2.2725633188423697,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0015477240085601807,0.03370251879096031,accept,passed_auto_qa,0.24752448499202728,2.8411078453063965,0.10976173728704453,1.0,2.088506871242853,1.2409853530096684,-1.6605533091043583,1.2666584618006453,1,1.72707359524793e-09,0.13128985458165407,1,1,0.4387613024552755,0.05870890022675737,0.20012874236535663,2.671677827835083,2451,0.08684098639455783
0009_150.028484_2.13021_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0009_150.028484_2.13021_acs_I_mosaic_30mas_sci.fits,150.02848323761197,2.130202576498222,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.000877107260748744,0.016679920256137848,accept,passed_auto_qa,0.2638942301273346,2.538111448287964,0.12359742075204849,1.0,5.391722415476003,1.4328465505739116,-5.210448410498742,-1.3863253467629875,4,1.7448655853513628e-09,0.14992967313230038,4,1,0.3483404572588989,0.047264739229024945,0.17300655618939545,2.340977430343628,1909,0.0676374716553288
0010_150.186217_2.556423_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0010_150.186217_2.556423_acs_I_mosaic_30mas_sci.fits,150.18622031658828,2.5564152313690176,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0012723378604277968,0.02984078973531723,accept,passed_auto_qa,0.30077314376831055,5.0,0.12406832724809647,1.0,0.596563548746278,0.11222650333258412,0.230330087282141,-0.5503054775171279,2,-0.0021345913410186768,0.09718130296643357,2,2,0.33178739094535026,0.028521825396825396,0.22804150914066354,5.0,1163,0.04120606575963719
0011_150.425094_2.009347_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0011_150.425094_2.009347_acs_I_mosaic_30mas_sci.fits,150.42509560531488,2.0093432723936213,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0007252499926835299,0.02145814709365368,accept,passed_auto_qa,0.3775504231452942,5.0,0.17584000527858734,1.0,0.29009888385075344,0.1878515087919066,0.27010171287869866,0.10584151884513915,2,1.3562839740188792e-09,0.12152162298336625,2,1,0.3463589153017636,0.027069160997732426,0.2176640142422854,5.0,1124,0.03982426303854875
0012_150.023391_2.164706_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0012_150.023391_2.164706_acs_I_mosaic_30mas_sci.fits,150.02339425475344,2.1647105338565646,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0028824806213378906,0.024542158469557762,accept,passed_auto_qa,0.2802794575691223,3.2512378692626953,0.1639382690191269,1.0,4.946542662299571,0.17052554016363694,3.4772642430277045,-3.5180843784808076,2,-4.743014869745821e-09,0.16193755011633038,2,1,0.31688276025452167,0.031816893424036284,0.19894396811099893,3.1251747608184814,1329,0.047087585034013606
