filename,path,ra,dec,shape_y,shape_x,pixel_scale_arcsec,cutout_size_arcsec_y,cutout_size_arcsec_x,sky_level,p99_flux,status,reason,std_norm,peak_norm,edge_abs_mean,finite_fraction
0018_149.949329_2.476142_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0018_149.949329_2.476142_acs_I_mosaic_30mas_sci.fits,149.949329,2.476142,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00026181922294199467,0.019155671820044518,accept,passed_basic_qa,0.27348122000694275,5.0,0.11857373267412186,1.0
0019_149.960066_2.248637_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0019_149.960066_2.248637_acs_I_mosaic_30mas_sci.fits,149.960066,2.248637,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0005372586892917752,0.030240265652537346,accept,passed_basic_qa,0.2845956087112427,5.0,0.1974646896123886,1.0
0020_150.494894_2.203851_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0020_150.494894_2.203851_acs_I_mosaic_30mas_sci.fits,150.494894,2.203851,168,168,0.029999998800000004,5.0399997984,5.0399997984,4.013283614767715e-05,0.010514910332858562,accept,passed_basic_qa,0.3801310360431671,5.0,0.21707479655742645,1.0
0021_150.214338_2.522802_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0021_150.214338_2.522802_acs_I_mosaic_30mas_sci.fits,150.214338,2.522802,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00015823445573914796,0.018655335530638695,accept,passed_basic_qa,0.2384270280599594,4.242772579193115,0.10218629240989685,1.0
0022_150.335559_2.486015_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0022_150.335559_2.486015_acs_I_mosaic_30mas_sci.fits,150.335559,2.486015,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0003974178689531982,0.014684714376926422,accept,passed_basic_qa,0.3046056628227234,5.0,0.15963783860206604,1.0
0023_150.301755_2.487292_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0023_150.301755_2.487292_acs_I_mosaic_30mas_sci.fits,150.301755,2.487292,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0001551759778521955,0.008958468213677406,accept,passed_basic_qa,0.33040106296539307,3.183337688446045,0.22866399586200714,1.0
0024_150.234405_2.034278_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0024_150.234405_2.034278_acs_I_mosaic_30mas_sci.fits,150.234405,2.034278,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00011799902131315321,0.012527965009212494,accept,passed_basic_qa,0.32750651240348816,5.0,0.15882126986980438,1.0
0025_150.325241_2.28518_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0025_150.325241_2.28518_acs_I_mosaic_30mas_sci.fits,150.325241,2.28518,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00018748335423879325,0.017817270010709763,accept,passed_basic_qa,0.21367192268371582,2.196951389312744,0.1357077807188034,1.0
0026_150.510751_2.283148_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0026_150.510751_2.283148_acs_I_mosaic_30mas_sci.fits,150.510751,2.283148,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.00011737663589883596,0.015639618039131165,accept,passed_basic_qa,0.2988935708999634,5.0,0.1657257378101349,1.0
0027_149.783271_2.088043_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0027_149.783271_2.088043_acs_I_mosaic_30mas_sci.fits,149.783271,2.088043,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0005639238515868783,0.01017950102686882,accept,passed_basic_qa,0.39739692211151123,1.9286259412765503,0.3204376697540283,1.0
