filename,path,ra,dec,shapey,shapex,pixelscalearcsec,cutoutsizearcsecy,cutoutsizearcsecx,skylevel,p99flux,status,reason,stdnorm,peaknorm,edgeabsmean,finitefraction,r1_pre_offset_pix,r1_post_offset_pix,r1_shift_y,r1_shift_x,r1_n_components,seg_bkg,seg_sigma,r2_n_components,r2_n_bright_components,r2_main_flux_fraction,r2_main_area_fraction,r2_spike_cross_ratio,r2_main_peaknorm,r3_mask_pixels,r3_mask_fraction
0001_150.329073_2.139497_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0001_150.329073_2.139497_acs_I_mosaic_30mas_sci.fits,150.32907433865515,2.1394986617800162,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.013445042073726654,0.33938679099082947,accept,passed_auto_qa,0.22377927601337433,2.3063857555389404,0.03597787022590637,1.0,1.4382762813330763,0.18745669000435755,1.3974889542751754,-0.34009305215511176,1,-1.3719727576244622e-09,0.048168718691915274,1,1,0.8839421770276857,0.24865362811791383,0.1986112815967123,2.2423150539398193,7826,0.27728174603174605
0002_150.054801_2.426702_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0002_150.054801_2.426702_acs_I_mosaic_30mas_sci.fits,150.05480580325315,2.426694131548289,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0019578374922275543,0.14299161732196808,accept,passed_auto_qa,0.24705840647220612,5.0,0.019021911546587944,1.0,0.8311414960732356,0.05896189394199471,0.028681982094937553,-0.8306464533108908,1,-8.141114449244924e-10,0.02726055526714772,1,1,0.8731219350376919,0.1359126984126984,0.3383467925654659,5.0,4326,0.15327380952380953
0003_150.218429_2.36785_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0003_150.218429_2.36785_acs_I_mosaic_30mas_sci.fits,150.21843043932176,2.367850804179094,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0038163787685334682,0.33541786670684814,accept,passed_auto_qa,0.21891839802265167,3.965155601501465,0.011786920949816704,1.0,0.9219902640584263,0.022593030735253157,0.9219452661375698,0.009108966190098045,2,3.4708591556409374e-10,0.016933536276407538,2,1,0.9322024705089975,0.18413407029478457,0.29069262780487387,3.93145751953125,5750,0.20372732426303855
0004_150.293615_2.402216_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0004_150.293615_2.402216_acs_I_mosaic_30mas_sci.fits,150.29361460676563,2.4022177156905635,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0007584767299704254,0.04080461710691452,accept,passed_auto_qa,0.24366495013237,5.0,0.062310218811035156,1.0,1.7731676023206404,0.20225355704610395,1.281250688707516,1.2257732329456559,2,0.0,0.06067786810621619,2,1,0.6874154815651838,0.07103883219954649,0.2863733344530567,4.915347576141357,2401,0.08506944444444445
0005_150.300439_2.165881_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0005_150.300439_2.165881_acs_I_mosaic_30mas_sci.fits,150.30044132795948,2.1658772053315594,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0010144098196178675,0.033599309623241425,accept,passed_auto_qa,0.27694302797317505,5.0,0.05699937790632248,1.0,1.9434418195429148,0.6878397451222252,1.4869637134440836,-1.2513612671202736,1,-0.00024349073646590114,0.06822719110362668,1,1,0.6869041863573714,0.08000283446712018,0.28769947693050596,5.0,2799,0.09917091836734694
0006_149.7983_2.215854_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0006_149.7983_2.215854_acs_I_mosaic_30mas_sci.fits,149.79830095022484,2.215845938347751,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0005115644889883697,0.027693217620253563,accept,passed_auto_qa,0.22443336248397827,3.7722480297088623,0.08209043741226196,1.0,0.13062726829530133,0.22820632627853096,-0.03807651821469449,-0.12495463970152798,1,0.0,0.10907550336197018,1,1,0.45806979589223845,0.04662698412698413,0.21208504428221364,3.6957504749298096,1643,0.05821286848072563
0007_149.825905_2.27702_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0007_149.825905_2.27702_acs_I_mosaic_30mas_sci.fits,149.82591724693734,2.2770174400434398,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0020867688581347466,0.18863461911678314,accept,passed_auto_qa,0.21416126191616058,4.534456729888916,0.05360740050673485,1.0,1.5002026057233662,0.056668043296262516,0.5662561019474452,-1.3892306810700887,2,-0.0005886649596504867,0.017198034820798784,2,1,0.7721378865096645,0.12726757369614514,0.2648201711650531,4.348327159881592,4078,0.14448696145124718
0008_150.110179_2.272575_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0008_150.110179_2.272575_acs_I_mosaic_30mas_sci.fits,150.11018064208596,2.2725633188423697,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0015477240085601807,0.03370251879096031,accept,passed_auto_qa,0.24752448499202728,2.8411078453063965,0.10976173728704453,1.0,4.100182878306602,3.3759163669086405,-1.1685382822739712,3.9301422262328884,5,1.72707359524793e-09,0.14252366141974926,5,1,0.45900549822288805,0.06746031746031746,0.19251620437785788,2.693645477294922,2556,0.09056122448979592
0013_149.907369_2.297506_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0013_149.907369_2.297506_acs_I_mosaic_30mas_sci.fits,149.90737706629292,2.2975063492276426,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0020218901336193085,0.04107741266489029,accept,passed_auto_qa,0.23172087967395782,2.8555030822753906,0.08077183365821838,1.0,1.8377902598672318,0.23523292359751122,0.013358813414569681,-1.837741706923751,4,2.8339854907244444e-09,0.08782155983401971,4,1,0.596177010026947,0.10225340136054421,0.17427413346578421,2.7908074855804443,3320,0.11763038548752834
0014_149.790393_2.319234_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0014_149.790393_2.319234_acs_I_mosaic_30mas_sci.fits,149.79038936488567,2.319225714597464,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0013352204114198685,0.10074379295110703,accept,passed_auto_qa,0.2445213347673416,5.0,0.02302963100373745,1.0,0.5961101797829172,0.04596055922676175,-0.2894646800806413,0.5211118358151481,1,-0.0011542636202648282,0.028543201990867965,1,1,0.8668784215350339,0.13396400226757368,0.34980134800266616,5.0,4272,0.15136054421768708
