sim_id,src_index,source_id,filename,mag_auto,flux_radius,pixel_scale_arcsec,hlr_arcsec_est,elongation,axis_ratio_est,arc_snr,theta_E,lens_e1,lens_e2,src_offset_x,src_offset_y,src_rotation,src_amp,psf_fwhm,sky_rms
0000,0,cosmos_000001,cosmos_000001.npy,23.280176162719727,5.159041404724121,0.03,0.15477124214172364,1.3757293224334717,0.7268871665000916,50.08061981201172,1.1869780242779817,-0.0183364680743843,0.10757937597341474,0.20760281280009465,0.13952352558360356,6.13001602516006,126.1139701990353,0.7858192915830862,0.03384340898026637
0001,1,cosmos_000003,cosmos_000003.npy,22.06301498413086,5.744026184082031,0.03,0.17232078552246094,2.248462438583374,0.4447483718395233,30.949642181396484,0.9853990121162907,0.12802949665458055,0.04315953602419936,-0.27327991499241705,0.1014738634690486,1.42778299794038,105.45847870158349,0.5691451768312527,0.054828935159777464
0002,2,cosmos_000009,cosmos_000009.npy,24.810985565185547,5.463715076446533,0.03,0.163911452293396,1.444861650466919,0.6921077966690063,24.094581604003906,1.1158321995610325,0.07742632202561214,-0.043642209561039494,0.2664325623016932,-0.21175088087043456,4.890727752164925,69.46387078519676,0.6900163011181103,0.03131411297361686
0003,3,cosmos_000017,cosmos_000017.npy,23.182703018188477,7.562108039855957,0.03,0.2268632411956787,1.3262423276901245,0.754010021686554,25.201000213623047,1.1415244766212274,0.07342864677234515,0.14025291973026302,-0.08756321035491735,0.09270727360893374,2.950306174308947,68.94713590842858,0.5889764516006415,0.044271147786778015
0004,4,cosmos_000032,cosmos_000032.npy,21.820762634277344,11.05964183807373,0.03,0.3317892551422119,1.0982179641723633,0.9105660319328308,26.922447204589844,0.9134546745254422,0.050944198404753116,-0.018854424338300785,-0.09062609428255883,-0.2805074019486078,1.9626574915846753,133.22598013952012,0.7914293072490406,0.041624351370905234
0005,5,cosmos_000033,cosmos_000033.npy,21.758543014526367,10.470223426818848,0.03,0.31410670280456543,1.3021653890609741,0.7679516077041626,29.260053634643555,1.1412477519874877,-0.10807425491720705,-0.09002753925746751,0.005157159651956368,-0.021828613640530486,4.177381133604818,120.51653786263351,0.7842187093065903,0.0437674732661502
0006,6,cosmos_000035,cosmos_000035.npy,23.25470733642578,10.596237182617188,0.03,0.3178871154785156,2.75046706199646,0.3635746240615845,23.005128860473633,1.0843705979764469,-0.10806090056170276,-0.11564097793920797,-0.23661664910845578,0.04345018774858219,3.5514831993300016,126.49988574160255,0.7404154960001772,0.04660738201973987
0007,7,cosmos_000048,cosmos_000048.npy,21.70494270324707,20.070175170898438,0.03,0.6021052551269531,1.1827763319015503,0.8454684019088745,16.56494903564453,0.9519750490313061,-0.14075464962961817,-0.01898478323029129,-0.07622278053772853,0.04936677189489069,5.362089651060446,73.39394858653407,0.5674908225067199,0.03844151676065989
0008,8,cosmos_000050,cosmos_000050.npy,21.624765396118164,15.449468612670898,0.03,0.46348405838012696,1.5933704376220703,0.6276004314422607,48.87602615356445,0.9467968788833419,0.04857495441806853,0.01710964570238349,-0.14289622815799116,-0.2392629986905338,2.5534039568310773,131.40203846660347,0.6000918759723112,0.030681362194015814
0009,9,cosmos_000051,cosmos_000051.npy,22.395919799804688,18.254343032836914,0.03,0.5476302909851074,2.2307958602905273,0.4482704997062683,16.681228637695312,1.161179675298225,-0.01143683092458378,-0.10161846628991947,0.10675317013098909,0.15151384945755317,4.37510994977821,94.61562755740307,0.6643063678289448,0.0390453626744363
