filename,ra,dec,mu_class,flags,flux_radius,elongation,mag_auto
0001_150.329073_2.139497_acs_I_mosaic_30mas_sci.fits,150.329073,2.139497,1,0,35.2723,2.4378,18.0655
0002_150.054801_2.426702_acs_I_mosaic_30mas_sci.fits,150.054801,2.426702,1,0,19.8743,1.2593,19.8233
