ra,dec,mu_class,mag_auto,flux_radius,elongation,flags,a_world,b_world
150.3290728141599,2.139497396864773,1,18.065548,35.272346,2.4378328,0,0.0003741167,0.0001517241
150.0548007553346,2.426702076707935,1,19.933756,15.462809,1.2094598,0,0.0001309045,0.0001093972
150.2184294645939,2.367849967545295,1,18.90745,18.096786,1.4255693,0,0.000163429,0.0001186216
150.2936153701321,2.402216316349572,1,21.408869,14.421974,1.2021974,0,9.838628e-05,8.305282e-05
150.300439257726,2.165880785636835,1,21.399775,17.46809,2.0637474,0,0.0001491709,6.807344e-05
149.7982997697374,2.215853782784313,1,21.835617,16.289274,1.5533581,0,0.0001025544,6.820653e-05
149.8259045027488,2.277020021470144,1,19.900879,14.870254,1.6329969,0,0.0001343274,8.585582e-05
150.110178583998,2.272574505571189,1,20.978971,26.193035,1.8499943,0,0.0001745187,9.771702e-05
150.0284841321291,2.130209957511572,1,21.761,26.83948,2.3997889,0,0.0001943788,9.084942e-05
150.1862166095315,2.556422581372937,1,21.921743,9.048376,1.142697,0,6.658297e-05,5.888384e-05
150.4250940541725,2.009346884404613,1,21.870378,7.550229,1.8158156,0,8.149604e-05,4.308721e-05
150.0233911425732,2.16470593831938,1,20.832024,37.07332,1.5365862,0,0.0001532479,0.0001008624
149.9073687601942,2.297505604518518,1,20.803825,24.737967,1.4702293,0,0.0001639536,0.0001114977
149.7903926203221,2.319234476721439,1,20.435148,14.145011,1.3850389,0,0.0001279679,9.290927e-05
150.3646458067556,2.393543427167231,1,21.890198,10.481428,2.3470848,0,9.458951e-05,3.96122e-05
150.2942207251641,2.506513693323821,1,23.909674,5.9123783,1.5794681,0,4.166613e-05,2.648346e-05
150.3759379506488,2.24362267250873,1,23.757347,10.771361,1.1661043,0,5.297863e-05,4.522047e-05
149.9493290526892,2.476142285967089,1,22.457848,11.271255,1.5120932,0,7.429688e-05,4.829686e-05
149.9600659880916,2.248636730956501,1,22.842047,7.438982,1.155278,0,4.719006e-05,4.056399e-05
150.4948935689297,2.203851021914473,1,23.316214,6.5495687,1.1352254,0,4.171551e-05,3.724061e-05
150.2143381754244,2.522801993842506,1,22.628912,12.004907,1.3519049,0,7.682673e-05,5.757513e-05
150.335558588537,2.486014738601145,1,22.891922,10.553018,1.1225892,0,5.730877e-05,5.092986e-05
150.3017546874133,2.487292172555597,1,23.395914,12.140099,1.052558,0,4.65094e-05,4.406331e-05
150.2344052790193,2.034277919768446,1,23.041662,8.791175,1.2845331,0,5.238418e-05,4.182112e-05
150.3252406420798,2.285180419139615,1,23.182905,11.101244,2.1186216,0,8.395538e-05,3.72253e-05
150.5107510297451,2.283147927239911,1,22.897179,11.025905,2.2789083,0,8.334578e-05,3.655037e-05
149.7832712759338,2.088042982160462,1,23.340057,27.27793,1.183665,1,5.055253e-05,4.330629e-05
150.2783315876692,2.009032375880411,1,23.85797,9.3773775,1.4378352,3,4.685693e-05,3.354401e-05
149.8386585670088,2.23574534438307,1,23.64383,11.275327,1.43848,0,4.116767e-05,2.831954e-05
150.2992911080179,2.090108086200873,1,23.48698,12.010611,1.7275828,0,7.023489e-05,4.072536e-05
150.1291534258951,2.164349656631535,1,23.202362,11.635703,1.2558367,0,3.756259e-05,3.012673e-05
150.4197122690959,2.19281550198281,1,22.871862,24.891954,1.1736196,1,4.309012e-05,3.671747e-05
150.101738512466,2.221971051726244,1,22.516872,16.438538,2.120979,0,7.620916e-05,3.365384e-05
150.1548258870232,1.91621042441652,1,23.22596,16.547625,2.9651134,0,7.669511e-05,3.117249e-05
149.8942249256976,2.126668027024833,1,23.8932,12.451363,1.4643942,0,4.190508e-05,2.88814e-05
149.8024676242391,2.034698808156316,1,25.195187,9.251155,2.0454383,0,4.404676e-05,2.078569e-05
150.2365598823591,2.078805373647379,1,25.496826,4.2089467,1.9095759,0,3.815667e-05,1.899144e-05
149.7496335076032,2.310984210068896,1,24.888659,12.675608,1.6902351,0,5.552663e-05,3.272064e-05
149.8493714802651,2.433017392444522,1,25.449448,7.308314,1.8086295,0,3.647714e-05,1.966516e-05
150.4387923767237,2.306412140121595,1,24.793766,8.502246,1.676727,0,5.872983e-05,3.395808e-05
150.2905336383101,2.041432013091828,1,25.114735,8.959398,1.5032634,0,4.385037e-05,2.842389e-05
150.3497705731837,2.52473145123378,1,24.160355,12.411484,2.207998,0,4.749441e-05,2.101207e-05
150.1085769803907,2.531710044980165,1,25.185766,9.675813,2.1709912,0,4.816176e-05,2.4841e-05
150.0924939558767,2.353066230039417,1,25.27542,9.11448,1.6518813,0,5.90732e-05,3.467266e-05
150.1430144549995,2.219132426668025,1,24.197033,7.383133,1.442928,0,3.495894e-05,2.40786e-05
149.7910145805799,2.33307149927672,1,24.845144,8.498638,2.903354,0,5.178458e-05,1.935028e-05
150.0628149788057,2.10059423630074,1,25.472473,10.415857,1.3554316,0,3.428531e-05,2.538446e-05
150.0307128044363,2.305751361366196,1,25.302223,7.171763,1.4616417,0,2.880308e-05,1.932343e-05
149.8996915557815,2.487444908165249,1,24.079147,34.33014,2.9855263,0,6.882166e-05,2.050585e-05
149.9134590412324,2.404574737131453,1,24.28662,7.9392004,1.2252834,0,3.399036e-05,2.835632e-05
